Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,xG,Pens S,Pen/R,Shot/90,Shot %,ShT/90,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Harry Amass,D/WB (L),25,ENG,"6'0""",167 lbs,,Rangers,£13M - £17M,7.00,2,2.00,0,-,0.44,25%,0.11,0.09,60.63,91%,0.97,13,116,14%,2.98,83%,4,3.43,54,37,4.40,3.60,82%,1,1.92,25,8.3mi,5,0,3,50 (3),"4,072",20,4,0,76.83,5,199,17,374.8mi,87,163,155,44,"3,028","2,743",162,135,31/5/2034,"£31,500 p/w",Left,13-18,-,7-12,-,12-17,-,-,-,-,13-18,11-17,-,-,8-13,7-12,-,-,-,13-18,-,-,-,4-11,11-17,-,5-10,-,-,11-17,13-18,-,-,15-20,9-14,-,10-17,-,-,-,10-15,12-17,10-17,10-17,8-13,-,-,9-14,0.29,0.82,0.10,11.40,15.32,9.84,9.99,3.25,7.14,0.09,37,-,-,10%,0.97,-,-,44,-,-,-,-,-,0.04,-,2.00,cinch Premiership,Physical,Fullback,Scouting Required,0,0.29,1.19,2.56,0.38,1,0.80,0.09,15%,2.54,0.38,66.93,0.09,0.29,0.04,-,Wnt,- -  - 
Filippo Mané,"D (RC), WB (R)",27,ITA,"6'2""",180 lbs,,RSC Anderlecht,£32M - £39M,6.95,7,5.07,0,-,1.21,46%,0.55,0.04,47.66,91%,0.29,4,46,13%,1.74,75%,12,2.39,41,23,9.20,7.00,76%,1,0.65,10,7.2mi,5,0,1,53,"4,400",59,2,0,83.02,27,450,6,353.6mi,32,342,117,14,"2,562","2,330",113,85,30/6/2034,"£31,000 p/w",Right,12-15,1-2,10-13,14-17,14-17,13-17,11-15,2-5,1-2,10-14,13-17,2-6,7-10,13-16,13-17,13-16,2-6,5-9,10-14,11-15,1-4,1,15,17,1-4,12-15,8-11,4-8,15,10-13,11-14,1-4,13-16,10-13,5-8,12-16,1-3,2-6,1-4,13-16,10-14,13,10-13,11-14,1-3,11-14,11-14,1.06,0.45,0.09,6.20,13.93,6.16,3.66,1.31,4.75,0.04,22,-,-,12%,0.27,-,-,13,-,-,-,-,-,0.10,-,5.07,Jupiler Pro League,Physical,Center back,Scouting Required,0,0.08,0.84,0.94,0.12,0,2.21,0.25,13%,0.94,0.12,52.40,0.29,0.08,0.10,-,Wnt,- -  - 
Malang Sarr,D (LC),33,FRA,"6'0""",156 lbs,,Club Brugge,£4.1M,6.97,2,3.57,0,-,0.53,48%,0.25,0.04,54.48,95%,0.39,4,8,25%,1.14,72%,10,2.86,57,18,5.28,2.71,51%,1,0.22,6,7.1mi,4,0,3,52 (1),"4,589",27,2,0,86.58,13,269,2,362.7mi,11,138,146,20,"2,929","2,778",81,58,30/6/2032,"£26,000 p/w",Left,12-16,1-4,10-14,10-13,11-14,12-15,14-17,1-4,1-2,10-13,13-16,5-8,9-13,13-17,12-15,8-11,2-5,6-9,10-13,12-15,5-8,1-5,13,11,1-3,8-12,6-10,5-8,13,15-19,8-11,3-6,11-15,12-16,6-9,11-14,1-4,1-4,1-3,12-16,9-12,14,11-15,12-16,1-2,9-13,13-17,0.14,0.33,0.13,5.08,10.92,3.26,2.90,1.02,5.22,0.04,17,-,-,7%,0.37,-,-,19,-,-,-,-,-,0.07,-,3.57,Jupiler Pro League,Technical,Experienced center back,Scouting Required,0,0.08,1.12,0.16,0.04,0,2.57,0.20,25%,0.08,0.02,57.44,0.20,0.00,0.07,-,Wnt,- -  - 
Lucas Cañizares,GK,30,ESP,"6'2""",182 lbs,,Crystal Palace,£38M - £47M,6.84,0,0.28,0,-,0.02,0%,0.00,-,15.48,68%,-,0,-,-,0.02,50%,0,0.09,-,0,-,-,-,1,-,0,4.0mi,0,0,0,53,"4,830",1,0,0,91.13,0,-,-,213.3mi,0,-,5,0,"1,218",831,2,1,30/6/2034,"£75,000 p/w",Right,9-12,15-18,5-8,14-17,13-16,10-14,10-14,15,10-14,9-13,12-16,1-4,1,12-15,12-16,2-5,5-9,1-3,9-13,1-4,1-5,14,5-8,16-20,11,12-15,1-4,1-3,2-6,12-15,3-6,14-18,10-13,9-12,1-4,11-15,8-11,11-15,10-13,10-13,11-15,1-2,9-12,10-13,14,10-13,12-15,0.00,-,0.28,0.17,4.73,11.20,0.00,0.00,0.82,0.00,-,-2.91,84%,-,0.00,44,-0.05,0,75%,75,54,1.21,0.26,0.01,50%,0.28,Premier League,Assertive,Goalkeeper,Scouting Required,-,-,8.39,-,-,-,-,0.00,-,-,-,22.70,-,-,0.01,3,,- -  - 
Tiago Araújo,D/WB/M/AM (L),31,POR,"6'0""",171 lbs,,AA Gent,£3.7M,7.01,8,5.58,0,-,1.59,57%,0.91,0.34,34.28,86%,2.35,21,197,23%,2.73,76%,2,3.26,20,27,5.53,1.89,34%,0,2.20,34,8.9mi,3,0,7,23 (30),"2,376",42,9,0,44.83,24,146,41,234.7mi,58,50,86,62,"1,054",905,95,72,30/6/2033,"£8,250 p/w",Left,11-14,1-3,10-13,15-18,13-16,8-12,6-10,1-4,1-4,7-11,11-15,9-13,9-12,11-14,12-16,12-15,1-5,5-9,9-13,13-17,5-9,1,7,9,3-6,3-6,9-12,1-3,9,10-13,12-15,3-7,12-15,9-12,5-8,7-11,1-3,1-5,1-2,11-14,5-9,10,9-12,11-14,1-4,10-13,11-14,0.08,0.49,0.13,19.43,11.40,12.77,10.68,3.22,6.59,0.24,13,-,-,19%,1.67,-,-,44,-,-,-,-,-,0.21,-,5.58,Jupiler Pro League,Physical,Attacking full back,Scouting Required,1,0.80,0.76,7.46,1.55,1,3.64,0.08,21%,4.24,0.98,39.92,0.19,0.49,0.21,-,Lst,- -  - 
Zaid Romero,"D (LC), DM",32,BEL,"6'5""",182 lbs,,Club Brugge,£6.4M - £10M,6.91,1,2.63,0,-,0.84,28%,0.23,0.08,42.82,90%,0.74,13,79,22%,2.97,84%,3,2.40,47,51,6.91,4.59,66%,0,0.55,15,7.8mi,8,0,2,49 (3),"4,271",40,4,0,82.13,11,328,18,368.0mi,26,218,114,35,"2,270","2,032",167,141,30/6/2033,"£16,250 p/w",Left,11-15,1-4,12-16,9-12,12-15,15-18,11-14,1-2,1-3,11-14,10-14,2-6,4-8,9-12,12-15,5-8,1-2,7-10,9-12,7-11,5-8,1-4,14,16,1,11-15,7-10,8-11,13,14-18,5-8,1-3,11-15,8-12,3-6,14-17,1-4,3-6,1-5,11-14,13-16,14,11-15,9-12,2-5,9-13,11-14,0.53,0.46,0.07,10.66,14.56,7.78,7.78,2.07,7.42,0.10,22,-,-,3%,0.72,-,-,34,-,-,-,-,-,0.06,-,2.63,Jupiler Pro League,Physical,Experienced center back,Scouting Required,0,0.27,0.99,1.66,0.38,0,2.32,0.06,23%,1.66,0.38,47.83,0.11,0.11,0.06,-,,- -  - 
Guglielmo Vicario,GK,35,ITA,"6'4""",180 lbs,Resolute,Tottenham Hotspur,£15.5M - £18.5M,7.03,0,0.00,0,-,-,-,-,-,23.27,91%,-,0,-,-,0.00,0%,0,0.13,-,0,-,-,-,1,-,0,4.0mi,0,0,0,52,"4,680",0,0,0,90.00,-,-,-,207.5mi,0,-,7,0,"1,335","1,210",5,0,30/6/2032,"£220,000 p/w",Right Only,8,14,10,10,14,12,15,15,15,15,15,1,3,14,16,1,4,2,7,9,3,16,8,16,14,12,2,3,1,13,8,16,8,15,3,15,11,17,12,12,13,2,12,9,15,12,12,0.00,-,0.00,0.04,4.42,3.73,0.00,0.00,0.21,0.00,-,0.35,83%,-,0.00,25,0.01,0,80%,49,54,0.88,0.50,0.00,0%,0.00,Premier League,Distributor,World class goalkeeper,Level-headed,-,-,2.60,-,-,-,-,0.00,-,-,-,25.67,-,-,0.00,2,,- -  - 
Leny Yoro,D (C),26,FRA,"6'3""",180 lbs,Resolute,Manchester United,£169M - £186M,7.03,2,3.51,0,-,1.16,38%,0.43,0.02,64.72,93%,0.29,2,2,-,1.18,86%,14,3.02,25,19,8.16,5.94,73%,3,0.14,4,7.0mi,5,0,1,43 (9),"3,728",48,1,0,71.69,18,338,0,289.7mi,6,246,125,12,"2,888","2,681",57,49,30/6/2034,"£235,000 p/w",Right,16,2,12,15,17,16,15,3,2,15,16,9,11,16,16,14,3,8,14,13,7,1,16,17,3,14,9,7,15,16,14,3,16,14,7,15,2,2,1,15,16,14,13,13,1,14,14,0.65,0.56,0.07,4.73,14.03,5.38,3.11,1.01,6.83,0.06,23,-,-,4%,0.29,-,-,12,-,-,-,-,-,0.08,-,3.51,Premier League,Physical,Elite center-back,Level-headed,0,0.05,0.60,0.05,0.00,0,2.22,0.34,0%,0.05,0.00,69.72,0.39,0.02,0.08,-,,- -  - 
Evan N'Dicka,"D (LC), DM",32,CIV,"6'4""",174 lbs,Fairly Determined,AS Roma,£16.5M - £25M,6.94,4,4.73,0,-,1.43,35%,0.49,0.03,68.84,91%,0.60,4,11,27%,1.92,71%,3,2.21,27,35,5.01,3.04,61%,1,0.34,7,8.0mi,4,0,1,38 (14),"3,466",55,1,0,66.65,19,193,3,309.1mi,13,117,85,23,"2,913","2,651",104,74,30/6/2032,"£125,000 p/w",Left,13,1-2,15,12-14,15,15-17,15,2-4,1-2,14,14,4-7,9-12,14,16,10,1-4,7-9,14,6-9,5-7,1-4,14,16,1,11,4-6,12-14,14,15,7-9,1-3,15,12,5-7,15,3-5,3-5,1-2,15,15,14,12,12,2-4,10-12,13,0.39,0.18,0.09,7.14,10.70,7.69,7.63,2.29,6.70,0.05,7,-,-,7%,0.60,-,-,23,-,-,-,-,-,0.12,-,4.73,Serie A TIM,Physical,Elite center-back,Level-headed,0,0.10,0.70,0.29,0.08,2,1.97,0.08,27%,0.29,0.08,75.64,0.16,0.42,0.12,-,Wnt,- -  - 
Stefan Sneijder,D (C),21,NED,"6'0""",169 lbs,,AA Gent,£5.2M - £8.4M,6.89,1,1.27,0,-,0.45,35%,0.16,0.04,49.69,92%,0.22,2,4,-,1.46,79%,17,1.94,57,19,6.86,4.88,71%,1,0.08,4,7.1mi,3,0,1,51 (1),"4,555",23,2,0,87.60,8,347,0,360.3mi,4,247,98,11,"2,732","2,515",94,74,30/6/2034,"£15,750 p/w",Left,11-14,1,10-13,13-17,12-16,14-18,9-13,3-6,1-5,12-16,11-14,2-5,6-9,14-17,13-17,6-10,1-3,4-8,5-9,7-10,6-10,1-3,12,14,1-2,4-7,6-9,2-6,11,17-20,6-10,1-3,11-14,10-13,1-4,13-17,2-5,1-5,1,14-17,12-16,13,7-10,8-11,1-4,9-12,12-15,0.49,0.59,0.06,4.58,12.94,4.74,3.71,1.28,5.67,0.02,30,-,-,4%,0.22,-,-,11,-,-,-,-,-,0.03,-,1.27,Jupiler Pro League,Physical,Center back,Scouting Required,0,0.04,1.13,0.08,0.00,0,1.98,0.34,0%,0.08,0.00,53.98,0.41,0.02,0.03,-,Wnt,- -  - 
Đuro-Giulio Đekić,D/WB (R),26,SRB,"5'6""",127 lbs,,AA Gent,£90K - £900K,6.80,0,0.95,0,-,0.28,56%,0.16,0.09,38.22,89%,0.78,7,96,17%,2.67,79%,3,3.20,37,31,4.21,1.57,37%,3,1.13,11,8.5mi,3,0,5,30 (22),"2,868",9,3,0,55.15,5,134,17,270.7mi,36,50,102,25,"1,372","1,218",107,85,30/6/2032,"£4,900 p/w",Right,12-15,1-3,10-13,14-17,12-15,10-14,8-12,1-4,1-4,8-12,10-14,3-7,9-12,13-16,11-15,10-13,2-6,3-7,8-12,6-10,1-3,1-3,9,6,3-6,9-12,9-12,3-7,11,12-15,11-14,3-7,13-16,8-11,3-6,12-16,2-5,1-5,1-3,12-15,6-10,12,8-11,10-13,1-4,10-13,9-12,0.09,0.44,0.11,16.38,12.43,8.00,6.94,2.26,6.06,0.09,14,-,-,-,0.78,-,-,25,-,-,-,-,-,0.03,-,0.95,Jupiler Pro League,Intelligent,Fullback,Scouting Required,0,0.22,1.16,3.01,0.53,0,2.64,0.09,18%,3.01,0.53,43.05,0.16,0.19,0.03,-,Wnt,- -  - 
Bremer,D (C),35,BRA,"6'2""",169 lbs,Spirited,AS Roma,£550K - £1.2M,6.89,2,2.09,0,-,0.68,52%,0.35,0.06,73.12,95%,0.31,5,0,-,0.98,74%,10,1.68,25,43,5.50,3.64,66%,1,0.02,5,6.9mi,9,0,1,48 (4),"4,400",33,3,0,84.62,17,269,0,336.6mi,1,178,82,15,"3,758","3,575",65,48,30/6/2031,"£145,000 p/w",Right,9,4,14,10,17,11,14,3,3,13,15,4,6,15,17,8,2,12,13,7,3,1,15,15,1,9,7,4,16,17,6,3,11,14,4,13,2,2,2,10,14,17,13,13,2,12,14,0.37,0.37,0.06,4.73,9.04,3.89,3.17,0.94,5.58,0.03,18,-,-,6%,0.31,-,-,15,-,-,-,-,-,0.04,-,2.09,Serie A TIM,Technical,Veteran center back,"Evasive, Reserved",0,0.10,0.51,0.00,0.00,0,1.86,0.20,-,0.00,0.00,76.87,0.33,0.08,0.04,-,Wnt,- -  - 
Robbert Verbeeck,"AM (L), ST (C)",23,BEL,"6'0""",167 lbs,,AA Gent,£6.2M - £7.6M,7.00,18,16.40,1,100%,1.68,49%,0.82,0.24,22.43,86%,0.95,23,64,25%,1.27,69%,1,0.69,23,52,9.75,2.28,23%,0,0.97,71,7.7mi,1,0,33,50 (2),"4,181",78,11,1,80.40,38,453,16,357.2mi,45,106,32,44,"1,213","1,042",86,59,30/6/2035,"£15,250 p/w",Left,15,1-4,12-15,11-14,11-14,12-16,5-9,1-3,3-6,16-19,6-10,5-9,6-9,10-13,15-18,12-15,1-3,13-17,12-15,14-18,6-10,1-2,13,10,1-3,1-4,4-7,1-4,4-8,11-14,14-17,1-3,14,5-8,4-7,4-8,1-3,1-4,1-5,9-12,11-14,3-7,12-16,13-16,3-6,6-10,7-10,0.04,0.09,0.21,6.57,3.36,7.81,7.06,1.85,1.14,0.15,4,-,-,23%,0.93,-,-,43,-,-,-,-,-,0.34,-,15.61,Jupiler Pro League,Intelligent,Striker,Scouting Required,1,0.50,0.50,1.38,0.34,1,7.47,0.02,25%,1.38,0.34,26.11,0.00,0.54,0.35,-,,- -  - 
Sven Botman,"D (LC), DM",32,NED,"6'4""",196 lbs,Resolute,Newcastle United,£34M - £41M,6.93,6,2.70,0,-,0.91,47%,0.43,0.03,65.72,93%,0.56,7,15,33%,1.44,68%,9,2.05,32,18,6.89,4.46,65%,2,0.41,10,7.7mi,3,0,1,45 (7),"3,555",36,1,0,68.37,17,272,5,305.3mi,16,176,81,22,"2,778","2,596",84,57,30/6/2033,"£350,000 p/w",Left,11,1-3,10,9-11,16,12-15,17,1,2-4,15,17,6-8,6-8,15,15,9,1-3,3-6,14,8-10,1-4,2-4,14,15,1-2,15,4-6,9-11,16,13,8-10,1-3,12,14,4-6,17,1-2,1-4,2-5,13,15,16,16,12,3-5,10-13,15,0.68,0.43,0.08,9.29,10.35,5.70,4.66,1.70,5.97,0.08,17,-,-,17%,0.56,-,-,22,-,-,-,-,-,0.07,-,2.70,Premier League,Intelligent,Powerful center-back,Level-headed,0,0.18,0.81,0.38,0.13,0,2.43,0.23,33%,0.38,0.13,70.33,0.30,0.08,0.07,-,Wnt,- -  - 
Alejandro Garnacho,"M (L), AM (RLC), ST (C)",27,ARG,"5'11""",141 lbs,Fairly Determined,Manchester United,£250M - £306M,7.12,19,16.16,3,75%,2.11,53%,1.12,0.23,33.47,83%,1.84,31,266,11%,2.32,83%,1,1.77,26,64,4.83,2.09,43%,1,3.80,103,8.5mi,6,0,27,51 (1),"4,267",100,11,4,82.06,53,229,36,402.8mi,180,99,84,87,"1,904","1,587",132,110,30/6/2035,"£325,000 p/w",Right,16,2,13,18,14,15,13,3,2,14,13,9,15,12,15,17,3,16,15,16,13,3,7,12,1,8,12,4,5,15,16,2,17,14,14,8,1,3,1,16,12,5,11,16,3,15,15,0.08,0.32,0.16,15.57,7.72,15.99,13.96,4.26,3.06,0.19,15,-,-,19%,1.48,-,-,70,-,-,-,-,-,0.27,-,12.98,Premier League,Physical,Elite winger,Media-friendly,4,0.65,0.55,5.61,0.76,4,2.74,0.02,14%,4.43,0.51,40.16,0.08,0.51,0.34,-,,- -  - 
Noah Atubolu,GK,30,GER,"6'3""",211 lbs,,Real Madrid,£27M - £34M,7.09,0,0.00,0,-,-,-,-,-,27.08,97%,-,0,-,-,0.00,0%,0,0.15,-,0,-,-,-,2,-,0,4.0mi,0,0,0,52,"4,680",0,0,0,90.00,-,-,-,209.3mi,0,-,8,0,"1,456","1,408",2,0,30/6/2032,"£90,000 p/w",Right Only,5-11,16-20,9-15,13-19,13-19,11-15,10-14,13-17,12-16,11-15,11-15,-,-,14-18,14-18,-,10-14,-,10-14,-,-,9-15,-,16-20,12-18,11-17,-,-,-,11-17,2-8,14-18,10-14,9-15,-,12-16,6-10,12-16,15-19,10-14,14-18,-,12-16,11-15,13-17,14-18,11-15,0.00,-,0.00,0.15,4.67,1.08,0.00,0.00,0.35,0.00,-,1.70,84%,-,0.00,20,0.03,0,82%,47,44,0.71,0.52,0.00,0%,0.00,LaLiga EA Sports,Shot Stopper,Decisive goalkeeper,Scouting Required,-,-,0.75,-,-,-,-,0.00,-,-,-,28.00,-,-,0.00,2,Wnt,- -  - 
Sam Amo-Ameyaw,"AM (RL), ST (C)",25,ENG,"5'9""",156 lbs,Balanced,Juventus,£155M - £171M,7.06,18,13.78,0,-,1.79,53%,0.96,0.17,21.40,83%,1.13,19,83,16%,1.18,76%,1,1.57,11,55,4.29,0.83,19%,0,2.55,60,7.8mi,3,0,47,41 (11),"3,671",73,7,0,70.60,39,175,14,320.2mi,104,34,64,46,"1,046",873,63,48,30/6/2034,"£120,000 p/w",Left,16,1-2,7,15-17,14-16,13-15,8-10,1-3,1,16,14-16,8-10,15,16,13,16,1-3,13,14,16,8-10,1-3,9,8,2-4,10-12,10,3-5,9-11,14,14,1-3,17,13,10,11-13,1-4,1-3,1-4,14,12,5-8,12,15,1-3,16,13,0.00,0.25,0.19,9.02,4.95,9.61,8.87,2.26,1.96,0.17,10,-,-,25%,1.13,-,-,46,-,-,-,-,-,0.34,-,13.78,Serie A TIM,Physical,Attacking midfielder,Level-headed,0,0.47,0.27,2.03,0.34,2,3.46,0.02,17%,2.03,0.34,25.64,0.00,0.59,0.34,-,nEU,- -  - 
Luís Maximiano,GK,33,POR,"6'3""",187 lbs,,West Ham United,£8.8M - £14M,6.76,0,0.00,0,-,-,-,-,0.02,11.12,56%,-,0,-,-,0.08,40%,1,0.08,-,0,-,-,-,2,-,0,3.8mi,0,0,0,51,"4,590",0,1,0,90.00,-,-,-,195.0mi,0,-,4,0,"1,008",567,10,4,30/6/2033,"£24,000 p/w",Right,11-14,13-17,10-13,12-15,13-16,10-14,11-15,12,12-15,12-15,10-14,1-5,1-3,9-12,14-17,2-5,10-14,1-4,10-13,1-4,1-4,13,5-9,13-17,11,9-12,1-3,2-5,1-5,10-13,1-4,14-18,10-14,9-12,1-4,10-14,8-11,12-16,12-16,9-12,11-14,1-5,11-15,6-9,14,10-14,11-14,0.00,-,0.00,0.16,4.08,12.71,0.00,0.00,0.69,0.01,-,-17.67,83%,-,0.00,24,-0.35,0,71%,82,82,1.73,0.20,0.00,40%,0.00,Premier League,Shot Stopper,Experienced goalkeeper,Scouting Required,-,-,9.14,-,-,-,-,0.02,-,-,-,19.76,-,-,0.00,3,Wnt,- -  - 
Juan Ignacio Barrios,D (C),22,ARG,"6'2""",178 lbs,Resolute,Newcastle United,£92M - £140M,6.94,2,1.67,0,-,0.52,45%,0.24,-,70.67,96%,0.18,1,3,-,1.10,81%,10,2.10,36,19,6.61,4.25,64%,1,0.05,4,7.2mi,6,0,1,35 (16),"3,432",20,0,0,67.29,9,252,0,273.2mi,2,162,80,7,"2,821","2,695",52,42,30/6/2033,"£86,000 p/w",Left,14,1-3,14,14-16,15,17-19,15,2-5,1-3,13,14,6-8,4-6,17,15,8,3-5,4-6,9,11-13,7-9,1-2,13,15,1-3,14,6-9,3-5,14,18,10-12,4-6,14,10,4-6,14,2-5,2-4,1-4,14,13,14,10,12,1,11-14,13,0.89,0.79,0.08,4.46,10.75,3.59,2.96,1.21,4.93,0.03,30,-,-,10%,0.18,-,-,7,-,-,-,-,-,0.04,-,1.67,Premier League,Physical,Center back,Level-headed,0,0.03,0.94,0.08,0.00,0,2.36,0.26,0%,0.08,0.00,73.98,0.58,0.00,0.04,-,Ask,- -  - 
Mofe Jemide,D (C),25,ENG,"6'2""",176 lbs,,Aberdeen,£12.5M - £21M,6.95,2,2.40,0,-,0.53,44%,0.23,-,46.11,84%,0.21,1,1,-,1.13,73%,15,1.53,96,22,7.31,6.11,84%,0,0.02,5,6.8mi,7,0,0,49 (2),"4,284",25,0,0,84.00,11,348,0,326.0mi,1,291,73,10,"2,621","2,195",74,54,31/5/2033,"£6,500 p/w",Left,10-15,-,10-15,-,14-19,-,-,-,-,7-14,12-19,-,-,11-16,5-12,-,-,-,3-10,-,-,-,10-15,15-20,-,2-7,-,-,11-18,12-17,-,-,13-18,7-12,-,14-20,-,-,-,11-16,7-14,12-17,7-12,8-13,-,-,8-13,1.74,0.61,0.10,4.03,12.61,9.39,2.18,0.74,4.39,0.02,29,-,-,8%,0.21,-,-,10,-,-,-,-,-,0.05,-,2.40,cinch Premiership,Physical,Center back,Scouting Required,0,0.02,2.02,0.02,0.00,0,1.20,0.32,0%,0.02,0.00,55.06,0.55,0.00,0.05,-,,- -  - 
Sverre Halseth Nypan,"M (C), AM (RLC)",25,NOR,"5'10""",174 lbs,Resolute,Manchester United,£94M - £112M,7.03,7,8.81,0,-,1.67,42%,0.70,0.43,44.99,86%,3.04,28,211,21%,1.29,73%,3,1.27,8,15,2.40,0.83,35%,0,2.45,43,8.3mi,0,0,4,39 (12),"3,343",62,16,0,65.55,26,89,51,306.6mi,91,31,47,113,"1,940","1,671",66,48,30/6/2034,"£220,000 p/w",Either,16,3,12,16,15,15,10,3,1,14,12,11,12,15,15,16,1,10,15,17,12,2,9,8,2,10,14,7,12,13,16,2,14,15,10,12,1,1,1,13,12,9,12,16,1,16,14,0.03,0.27,0.14,12.33,5.82,12.36,13.08,3.63,4.66,0.31,10,-,-,11%,1.88,-,-,70,-,-,-,-,-,0.24,-,8.81,Premier League,Creative,Midfielder,Level-headed,1,0.75,0.22,5.68,1.37,3,1.56,0.08,24%,1.72,0.38,52.23,0.08,1.02,0.24,-,,- -  - 
Gassimou Sylla,ST (C),22,BEL,"5'9""",154 lbs,,RSC Anderlecht,£6.2M - £7.6M,6.80,19,23.96,0,-,2.38,50%,1.20,0.04,12.01,81%,0.45,9,23,8%,0.61,57%,0,0.77,12,59,10.38,3.36,32%,0,1.24,65,7.2mi,2,0,46,51,"4,421",117,2,0,86.69,59,510,2,353.1mi,61,165,38,22,725,590,53,30,30/6/2034,"£26,000 p/w",Right,16,1-4,10-13,15-18,13-16,10-14,4-8,1-2,3-6,15-18,6-10,4-8,7-10,8-11,15-18,13-16,1-5,12-16,13-16,10-14,4-8,1-3,12,12,1-4,6-9,8-11,5-8,3-7,15-18,13-16,1-4,15,7-10,7-10,7-11,1,1-5,2-6,11-14,13-16,3-7,7-11,10-13,1-4,8-12,8-11,0.12,0.14,0.20,4.91,2.99,5.50,3.95,1.00,0.43,0.05,7,-,-,16%,0.45,-,-,22,-,-,-,-,-,0.49,-,23.96,Jupiler Pro League,Physical,Striker,Scouting Required,0,0.18,0.24,0.47,0.04,1,7.02,0.00,9%,0.47,0.04,14.76,0.04,0.57,0.49,-,Int,- -  - 
Kaiky,D (C),28,BRA,"6'1""",163 lbs,,Rangers,£17M - £28M,6.90,0,2.76,0,-,0.48,43%,0.21,-,72.11,94%,0.21,1,2,-,0.93,80%,14,2.09,37,26,6.95,5.71,82%,1,0.10,7,6.8mi,3,0,1,50 (1),"4,352",23,0,0,85.33,10,336,0,329.8mi,5,276,101,10,"3,726","3,487",56,45,31/5/2034,"£55,000 p/w",Right,14-19,-,14-19,-,11-17,-,-,-,-,10-17,9-14,-,-,7-14,11-18,-,-,-,11-18,-,-,-,12-17,11-16,-,10-15,-,-,10-15,15-20,-,-,11-16,13-18,-,11-16,-,-,-,8-15,11-18,13-18,11-16,8-15,-,-,8-15,0.97,0.58,0.12,4.05,12.06,5.36,2.71,1.12,4.94,0.01,28,-,-,-,0.21,-,-,10,-,-,-,-,-,0.06,-,2.76,cinch Premiership,Technical,Center back,Scouting Required,0,0.02,0.77,0.04,0.00,0,1.24,0.29,0%,0.04,0.00,77.05,0.39,0.00,0.06,-,,- -  - 
Trevor Kennedy,D/WB (R),22,ENG,"5'3""",143 lbs,,Manchester United,£129M - £158M,6.98,3,2.51,0,-,0.53,38%,0.20,0.15,44.85,89%,1.16,16,215,17%,2.70,86%,7,3.20,31,37,3.23,0.88,27%,0,2.87,40,8.5mi,5,0,4,43 (8),"3,572",21,6,0,70.04,8,128,38,339.0mi,114,35,127,46,"1,996","1,780",125,107,30/6/2035,"£90,000 p/w",Right,12-16,1-4,8-12,16-20,14-18,15-18,17-20,1-5,1-3,8-11,14-17,4-7,9-13,14-18,9-12,10-14,2-5,3-6,11-14,9-12,1-3,1-4,8,4,1-5,3-7,5-9,5-8,15,12-16,10-14,3-6,15-18,8-12,5-9,13-16,1-4,1,2-5,14-18,11-14,14,12-15,11-15,1-3,13-16,11-15,0.08,0.28,0.12,19.00,11.31,12.40,11.34,3.91,7.33,0.17,11,-,-,14%,1.16,-,-,46,-,-,-,-,-,0.06,-,2.51,Premier League,Intelligent,Attacking full back,Scouting Required,0,0.40,0.78,5.42,0.96,3,2.34,0.18,18%,5.37,0.96,50.29,0.03,0.28,0.06,-,Int,- -  - 
